ausencias_ultimos_30d,patron_whatsapp,hora_peticion_minutos,dia_semana,clima,distancia_km,se_ausento
9,lento,1013,sábado,tormenta,24.768677038908194,1
9,normal,226,jueves,nublado,24.920759257126004,1
5,rapido,1177,martes,nublado,23.844523460768727,1
0,normal,821,martes,nublado,9.217557997842428,1
3,normal,870,martes,nublado,25.279879328432724,1
9,normal,404,viernes,lluvioso,16.74694584555281,1
5,normal,201,domingo,soleado,11.840435157143071,0
14,rapido,37,domingo,nublado,19.134568831422758,1
5,lento,941,jueves,lluvioso,1.357890335750846,1
10,normal,187,martes,nublado,5.145865450421812,1
11,lento,1080,domingo,soleado,22.526512606937622,1
4,rapido,940,miércoles,nublado,8.080686652768437,0
0,rapido,1043,domingo,lluvioso,18.34226440253374,1
7,lento,272,sábado,soleado,12.16797548186786,1
4,rapido,1142,sábado,lluvioso,25.78936758517858,1
11,rapido,582,domingo,lluvioso,28.620043873902663,1
11,lento,515,miércoles,nublado,26.623377122735523,1
11,normal,1244,sábado,tormenta,8.847979846114303,1
4,normal,525,viernes,lluvioso,6.630723202336386,1
6,rapido,335,domingo,lluvioso,14.758611915001314,1
3,normal,697,viernes,lluvioso,1.2126903742492279,1
5,rapido,1078,domingo,soleado,1.7484723930322703,0
12,normal,499,lunes,soleado,17.045428549067,1
3,normal,899,lunes,nublado,16.093032720793293,1
13,normal,765,lunes,soleado,29.84287768202254,1
14,normal,535,sábado,nublado,6.8534132255489855,1
2,rapido,161,viernes,lluvioso,8.485013945653584,0
6,rapido,593,viernes,lluvioso,4.292678627462314,0
7,rapido,158,viernes,nublado,27.608747279958596,1
3,lento,1211,miércoles,lluvioso,23.556526089295073,1
12,normal,59,viernes,lluvioso,24.847834232248577,1
1,lento,914,miércoles,nublado,27.180149850970754,1
11,lento,1342,lunes,soleado,16.22209961504931,1
9,lento,210,lunes,nublado,14.084602552070987,1
13,normal,405,sábado,lluvioso,10.581352736302879,1
2,lento,663,domingo,nublado,18.08722381608781,1
0,normal,1132,lunes,nublado,14.174073506904852,1
7,rapido,1099,domingo,soleado,14.095402011561678,1
14,rapido,541,domingo,lluvioso,28.170908048203028,1
2,normal,1337,sábado,lluvioso,29.536913914094775,1
11,lento,997,martes,lluvioso,24.098047290557844,1
9,lento,1140,martes,tormenta,22.94598461716092,1
6,normal,926,jueves,lluvioso,20.736186691593943,1
9,rapido,867,sábado,tormenta,5.8161707176718975,1
4,rapido,18,jueves,tormenta,2.714068805393981,0
9,normal,431,jueves,lluvioso,21.03106313828463,1
4,normal,739,martes,nublado,22.134800445440703,1
13,normal,1373,sábado,soleado,2.362216741846054,1
6,normal,182,martes,nublado,27.913500756636594,1
14,normal,112,jueves,nublado,3.6430785438956486,1
8,rapido,1206,sábado,soleado,9.29111547936487,1
11,normal,480,jueves,soleado,20.49930457116243,1
4,normal,1169,viernes,tormenta,5.926305237729814,1
0,rapido,830,domingo,lluvioso,2.6070607648250883,0
9,lento,1136,sábado,lluvioso,10.603248185760345,1
9,normal,762,sábado,nublado,23.213175670800194,1
0,normal,475,domingo,soleado,12.996681690572549,1
14,normal,762,jueves,soleado,19.93621473533024,1
1,lento,1326,viernes,soleado,17.80895381961596,1
13,normal,970,miércoles,soleado,1.644335978741832,0
5,lento,1019,domingo,soleado,29.667659624325495,1
8,rapido,1141,martes,tormenta,2.2014145757622448,1
7,normal,160,jueves,lluvioso,29.066279391806066,1
12,rapido,400,domingo,soleado,16.946061172567546,1
4,rapido,197,domingo,soleado,28.93161178488693,0
0,normal,1283,sábado,nublado,4.3278543830012275,0
12,rapido,659,martes,soleado,15.221847056379882,1
6,lento,1070,martes,tormenta,5.9156186641157005,1
14,rapido,398,martes,nublado,2.47827143365083,1
4,lento,77,domingo,nublado,18.908344336807037,1
5,lento,123,miércoles,soleado,7.025719207889052,0
12,lento,74,lunes,soleado,18.043213530338832,1
6,rapido,136,jueves,nublado,4.258569976520583,0
2,lento,601,lunes,lluvioso,10.62760767154838,1
11,lento,1423,domingo,nublado,23.667344183544166,1
9,rapido,836,lunes,soleado,13.674494133423442,0
2,normal,499,domingo,nublado,19.204617032022753,1
4,normal,137,lunes,nublado,19.77628028162083,1
5,normal,49,martes,lluvioso,25.468896275631515,1
8,normal,972,viernes,soleado,10.422761037792597,1
12,normal,253,martes,soleado,20.93157131489301,1
13,rapido,709,martes,nublado,28.886858404338806,1
11,normal,562,sábado,nublado,22.177056696378173,1
4,lento,756,sábado,nublado,15.20624382481459,1
14,normal,546,lunes,nublado,19.290805890265947,1
0,rapido,1325,domingo,nublado,22.450804035130137,1
13,rapido,921,martes,lluvioso,18.755997205122302,1
13,normal,580,lunes,nublado,1.4835985912053355,1
13,rapido,1372,sábado,tormenta,6.6484314329295495,1
3,normal,48,viernes,nublado,24.503578299248513,0
4,rapido,916,jueves,tormenta,8.906868772062055,1
11,normal,1097,lunes,lluvioso,22.215301467272884,1
9,rapido,703,viernes,soleado,11.791486242009261,1
9,normal,260,jueves,lluvioso,16.134645516580353,1
4,lento,355,miércoles,soleado,2.9712256947627074,0
6,lento,1283,lunes,tormenta,6.255541270441577,1
3,normal,637,lunes,nublado,28.7587119420578,1
0,normal,742,miércoles,soleado,26.814003549960507,1
13,normal,1318,miércoles,nublado,19.915978216072457,1
13,normal,1009,lunes,tormenta,14.329693324186383,1
4,lento,930,miércoles,soleado,20.59707749396149,1
6,normal,640,martes,nublado,18.93969838372423,1
9,normal,791,jueves,lluvioso,17.488015412533752,1
9,normal,1336,jueves,lluvioso,2.7161350840427128,1
5,rapido,611,jueves,nublado,19.3512757091837,1
4,normal,808,martes,soleado,23.29868129256388,1
3,normal,1205,domingo,soleado,29.82836798472169,1
1,normal,685,miércoles,nublado,1.3212780252349807,1
3,normal,1387,viernes,nublado,22.17503014600962,1
14,rapido,187,miércoles,tormenta,17.581890162143434,1
9,normal,984,lunes,soleado,13.587513106347744,1
9,normal,547,sábado,nublado,4.699535062569756,1
2,lento,724,jueves,soleado,12.86346931041141,1
9,lento,925,miércoles,soleado,11.276938306597923,1
0,normal,1431,viernes,nublado,9.782066780383524,0
7,lento,875,lunes,nublado,22.195509076344024,1
4,rapido,617,martes,nublado,21.32104011724365,1
12,normal,413,domingo,tormenta,18.081582638446434,1
3,lento,1365,martes,nublado,28.221279585507794,1
7,lento,1243,viernes,tormenta,11.14577714124478,1
6,normal,902,lunes,lluvioso,8.070256193595206,1
1,normal,162,jueves,nublado,20.02119607985359,0
0,normal,1243,miércoles,lluvioso,6.765607767184686,0
11,rapido,269,lunes,nublado,10.135304708319314,0
10,rapido,631,domingo,soleado,7.51347076217166,0
3,lento,905,martes,lluvioso,3.0054534638365356,1
7,normal,1423,domingo,soleado,24.997463507434528,1
11,lento,1205,domingo,nublado,8.381675744728174,1
1,lento,204,viernes,lluvioso,14.7177975969476,1
2,normal,581,viernes,soleado,2.2561429243750464,0
11,normal,840,miércoles,soleado,21.28084452132665,1
0,rapido,1251,viernes,tormenta,10.586269066882434,1
0,normal,595,viernes,nublado,22.59736510704709,1
12,rapido,249,lunes,soleado,12.959688753568118,1
2,normal,874,jueves,nublado,6.676912585763114,1
10,normal,195,miércoles,nublado,15.882077386179041,1
4,normal,689,lunes,nublado,4.784632229485753,0
11,normal,1093,jueves,tormenta,13.775635636316848,1
2,rapido,638,domingo,nublado,10.20185884519411,1
0,normal,1422,lunes,soleado,27.446827941789362,0
0,rapido,671,sábado,lluvioso,2.7669329299008787,0
7,lento,1226,lunes,lluvioso,21.12650500906652,1
9,rapido,1171,viernes,soleado,6.299783813635641,1
10,normal,943,jueves,soleado,10.252307155634956,1
11,rapido,198,miércoles,soleado,13.049907828799913,1
12,lento,491,miércoles,nublado,27.332437591874253,1
12,normal,895,jueves,nublado,8.034769716140929,1
11,normal,141,viernes,nublado,3.6479552737954366,1
14,rapido,1336,martes,tormenta,10.241998515725184,1
13,rapido,164,lunes,lluvioso,4.035603145530467,1
1,normal,313,viernes,soleado,4.729298092856023,0
12,lento,20,sábado,soleado,17.641667341275774,1
2,rapido,1105,domingo,nublado,2.766156059885306,0
1,rapido,1154,jueves,soleado,1.896995560413415,0
2,rapido,983,lunes,nublado,21.718008942644435,1
6,lento,304,miércoles,lluvioso,11.487765750390292,1
0,normal,370,domingo,soleado,4.635885127782325,0
9,normal,852,martes,nublado,8.354770354931539,1
7,normal,383,sábado,lluvioso,19.62050871321957,1
12,lento,444,miércoles,nublado,8.990560447084684,1
9,lento,424,jueves,soleado,15.34111262849183,1
9,normal,160,lunes,nublado,4.529163895073497,1
9,rapido,1201,jueves,soleado,18.054715490557964,1
13,lento,628,domingo,tormenta,10.166252831454658,1
1,lento,894,lunes,soleado,19.18208460133278,0
2,normal,489,viernes,nublado,24.443451586816664,1
8,lento,1016,martes,nublado,18.73774616230978,1
6,normal,326,viernes,tormenta,9.5766793152556,1
3,normal,597,viernes,soleado,8.416567344900711,0
9,normal,1014,jueves,soleado,10.495207803269992,1
4,normal,288,domingo,soleado,5.773994883858641,1
1,normal,592,martes,soleado,6.253983674650582,0
12,lento,572,lunes,soleado,23.93004195510487,1
10,normal,1377,lunes,nublado,12.157244718715905,0
12,lento,27,sábado,soleado,13.64386023654699,1
7,normal,953,miércoles,soleado,18.227434501437525,1
3,rapido,42,sábado,lluvioso,18.099951359394883,0
8,rapido,422,sábado,soleado,2.953929274135846,0
4,normal,176,lunes,soleado,25.114682803792302,1
12,normal,528,jueves,soleado,6.142470043494243,1
8,normal,965,viernes,tormenta,21.969077445440398,1
3,lento,197,domingo,soleado,23.40745865571683,0
9,lento,609,viernes,lluvioso,21.732086488648097,1
4,normal,841,viernes,lluvioso,17.79035175007021,1
8,lento,852,martes,soleado,1.423660916157603,1
7,normal,21,lunes,tormenta,11.45088927853195,1
2,normal,1135,domingo,soleado,18.540343451514854,1
0,lento,1080,jueves,soleado,12.236087581753623,0
2,normal,1089,martes,lluvioso,26.04091695247158,1
3,lento,841,miércoles,lluvioso,9.955265985138846,1
1,normal,97,jueves,nublado,9.512508981301153,0
0,rapido,1167,sábado,soleado,8.71393309968708,0
6,normal,434,jueves,nublado,10.65064519986307,1
7,normal,636,jueves,lluvioso,17.164743965111427,1
6,lento,1109,viernes,soleado,21.503443533905134,1
13,normal,587,jueves,soleado,20.214469614424768,1
4,rapido,343,sábado,soleado,24.42381677946291,0
11,lento,1317,sábado,soleado,26.69150586942532,1
0,lento,570,lunes,lluvioso,24.666292227957186,0
6,lento,610,jueves,nublado,1.5494166978562827,1
12,rapido,242,viernes,tormenta,22.341620653007674,1
6,rapido,560,jueves,soleado,7.043587634931617,0
8,lento,959,miércoles,lluvioso,4.854913238531497,1
2,lento,31,miércoles,soleado,19.51617475917493,0
8,normal,390,viernes,soleado,10.272552666823152,1
13,normal,276,lunes,soleado,2.6563977377428545,1
0,lento,531,lunes,soleado,4.991262297552479,0
0,normal,1177,sábado,nublado,1.0269530892288707,1
13,normal,382,sábado,tormenta,27.193485192996512,1
3,normal,1091,martes,nublado,1.713921531395919,0
8,normal,883,viernes,soleado,7.074217315775821,1
5,lento,213,jueves,soleado,13.071620639949312,1
12,rapido,375,domingo,soleado,11.340568452573754,1
10,normal,743,viernes,nublado,27.440050430470496,1
2,lento,212,martes,lluvioso,2.1683794263017213,0
0,rapido,78,sábado,tormenta,15.854226522634496,0
3,normal,627,viernes,soleado,20.733904413206844,1
11,rapido,603,viernes,nublado,28.019241236753896,1
12,normal,781,sábado,nublado,18.990766311587908,1
8,normal,1404,martes,nublado,24.30890184434112,1
2,rapido,1000,sábado,nublado,3.4280231975151034,0
11,normal,679,lunes,nublado,12.192245817170893,1
8,lento,57,jueves,nublado,11.844466899892957,1
6,rapido,1049,sábado,soleado,26.70235827721581,1
11,normal,880,martes,lluvioso,5.389763966634973,1
13,lento,446,miércoles,soleado,5.404698997762278,1
14,rapido,65,lunes,nublado,10.528186346688155,1
3,normal,1277,miércoles,nublado,2.57951537363829,1
2,rapido,1067,domingo,nublado,6.291283178922211,0
9,lento,1120,sábado,tormenta,28.99107951782632,1
14,lento,1011,lunes,lluvioso,13.417334256148013,1
4,lento,226,jueves,lluvioso,19.328557044250655,1
4,normal,773,sábado,nublado,22.057226520994472,0
2,rapido,678,jueves,lluvioso,11.641880803208814,1
11,rapido,600,viernes,nublado,5.269585157904992,0
8,lento,378,miércoles,lluvioso,6.990849470431644,1
3,lento,1201,lunes,nublado,10.084727820837701,1
10,lento,708,jueves,tormenta,19.445984190214546,1
4,normal,306,martes,tormenta,12.550135923582578,1
3,lento,778,jueves,lluvioso,1.1976262391037156,1
4,lento,503,martes,soleado,16.178808366956684,1
6,lento,267,sábado,soleado,27.72388836531512,1
8,lento,7,lunes,lluvioso,24.550250719251693,1
6,normal,507,jueves,soleado,24.931129766529303,1
12,normal,475,domingo,lluvioso,24.056682510577804,1
4,normal,1320,jueves,nublado,10.388193942702285,1
9,normal,163,domingo,nublado,23.190621178877368,1
9,lento,484,lunes,tormenta,5.151679376524597,1
6,lento,1095,jueves,nublado,20.073768271002653,1
13,lento,566,martes,nublado,19.60548843386484,1
14,normal,904,jueves,nublado,1.7415241736023055,1
9,lento,558,miércoles,soleado,23.851133874137016,1
4,normal,237,sábado,lluvioso,27.194195047758786,1
2,normal,1127,viernes,soleado,8.755043075691123,0
6,lento,1233,martes,tormenta,24.559331001398377,1
12,rapido,553,miércoles,lluvioso,3.389773183996498,1
10,normal,827,domingo,soleado,18.399067889570915,1
10,normal,467,sábado,lluvioso,15.083759094694038,1
1,normal,1291,lunes,nublado,16.831782465961,1
14,normal,385,martes,soleado,27.85995085464601,1
11,lento,774,viernes,tormenta,26.26814217015875,1
8,normal,847,sábado,soleado,23.767426059952953,1
9,lento,386,domingo,soleado,8.937255272672758,1
9,normal,876,viernes,nublado,27.442740231896657,1
11,normal,258,lunes,nublado,3.8277230814523824,1
0,normal,282,lunes,nublado,25.746547280204847,0
12,normal,39,domingo,lluvioso,10.516642098254625,1
5,normal,485,martes,nublado,2.5593970381975177,0
6,normal,928,domingo,nublado,20.4113525429817,1
13,rapido,219,jueves,soleado,7.707117921162708,1
12,normal,1152,lunes,soleado,8.063562650074326,1
7,rapido,1014,sábado,soleado,9.875367820634374,0
9,normal,1023,jueves,soleado,2.8468582575729853,1
8,rapido,612,miércoles,nublado,6.136687181749367,0
1,lento,927,viernes,soleado,1.1490491999812487,1
10,lento,687,jueves,soleado,13.916876112067817,1
9,lento,612,viernes,soleado,3.4434059451211674,0
1,lento,259,domingo,tormenta,20.79692554628177,1
4,lento,989,jueves,tormenta,7.833062684557803,1
12,lento,965,domingo,nublado,28.363650177020137,1
4,lento,365,miércoles,tormenta,26.266297194560924,1
5,normal,543,lunes,lluvioso,9.393785954078039,1
2,normal,648,miércoles,nublado,23.713248185043682,0
7,lento,813,lunes,soleado,24.294102235279382,1
12,lento,1039,domingo,lluvioso,29.610330309317902,1
0,lento,1152,lunes,lluvioso,18.337359618524864,0
5,lento,574,viernes,nublado,3.3770063046662036,0
3,rapido,1132,sábado,lluvioso,19.758279638865048,1
0,normal,1012,miércoles,nublado,19.124412702905023,1
14,normal,669,jueves,lluvioso,19.51216674519252,1
6,normal,268,miércoles,tormenta,9.907223795022134,1
8,normal,1185,viernes,soleado,25.930707967329656,1
12,rapido,1283,lunes,lluvioso,28.824693305706944,1
3,normal,923,viernes,nublado,7.3136628763663944,0
3,lento,1125,martes,nublado,3.556412585962689,1
5,normal,246,martes,lluvioso,6.641515961886038,1
11,lento,130,jueves,soleado,24.796012038415846,1
14,lento,352,viernes,nublado,20.622694409775576,1
2,normal,195,domingo,soleado,19.445372927834672,0
12,lento,929,jueves,nublado,12.65200091817331,1
11,normal,1405,domingo,nublado,17.757011173831636,1
5,normal,1021,jueves,lluvioso,9.928349632956655,1
6,normal,644,martes,soleado,14.838802303120877,1
10,normal,226,jueves,nublado,23.99882782274902,1
9,normal,700,martes,soleado,29.456006326208403,1
9,lento,264,lunes,lluvioso,28.042178784104255,1
2,lento,1395,domingo,tormenta,28.082112342541215,1
6,lento,645,viernes,tormenta,12.66448831056626,1
13,normal,210,jueves,lluvioso,14.594906534696937,1
2,lento,1400,martes,lluvioso,21.463426494700464,1
12,normal,1418,miércoles,soleado,27.74356591348724,1
12,normal,942,domingo,soleado,5.117833521210455,1
1,rapido,1387,jueves,nublado,9.823014050988677,0
11,normal,456,sábado,lluvioso,5.038158493229176,1
13,lento,724,lunes,tormenta,18.748247368824202,1
9,lento,1249,lunes,soleado,9.882728909738589,1
3,normal,981,miércoles,tormenta,10.45712772286463,0
11,normal,1154,martes,nublado,3.056562825151398,1
7,normal,587,jueves,nublado,11.144085792420166,1
12,rapido,475,domingo,soleado,26.012398714645975,1
14,normal,985,martes,soleado,7.759111544834214,1
8,normal,1300,lunes,nublado,21.160436520091903,1
6,normal,155,martes,nublado,19.259222003219186,1
0,lento,1241,lunes,soleado,26.041053642704345,1
2,normal,189,martes,nublado,4.836350481880109,1
12,normal,980,miércoles,lluvioso,29.350108850006254,1
11,lento,545,viernes,lluvioso,17.8962307351706,1
13,rapido,40,miércoles,tormenta,29.868750418057616,1
8,normal,306,miércoles,soleado,27.433927050109673,1
14,normal,942,viernes,soleado,7.424000891280068,1
11,normal,337,viernes,lluvioso,2.6286982871960802,1
0,lento,1337,jueves,nublado,8.413533720065484,0
8,normal,1098,domingo,soleado,16.299345820983177,1
7,lento,952,domingo,soleado,5.97629464489051,1
0,lento,278,jueves,nublado,5.856332591021666,0
5,lento,1199,miércoles,soleado,14.41521286604944,1
4,normal,895,miércoles,soleado,1.9647711639113943,0
5,rapido,272,lunes,soleado,4.534754393435843,0
9,lento,836,lunes,soleado,13.059978842830478,1
11,lento,619,domingo,nublado,2.8307673670310276,1
12,normal,861,jueves,nublado,12.50589663721035,1
12,rapido,930,sábado,nublado,14.746181712504907,1
12,normal,288,sábado,soleado,14.086731808120318,1
14,normal,723,jueves,soleado,26.206070864689533,1
4,normal,892,lunes,nublado,16.37181119650024,1
5,lento,271,domingo,nublado,14.571433411863257,1
4,normal,1089,domingo,nublado,12.91056811635832,0
10,normal,482,lunes,soleado,24.7110779708301,1
11,normal,935,sábado,tormenta,26.95664151599516,1
4,normal,247,martes,soleado,25.74403160671641,1
3,lento,155,martes,nublado,20.532850765810334,1
2,lento,1070,lunes,nublado,4.983490633091552,1
2,normal,453,martes,nublado,9.029229115268356,0
3,normal,200,viernes,soleado,2.3358288467773454,0
8,lento,123,jueves,nublado,27.99389817471331,1
1,normal,0,jueves,lluvioso,20.1631573610364,1
14,normal,967,lunes,soleado,22.644523645084004,1
8,rapido,854,miércoles,soleado,10.035580447884639,1
0,lento,639,sábado,soleado,25.52395214604293,0
13,normal,190,lunes,lluvioso,8.528495227545877,1
14,lento,515,martes,soleado,1.0476689562610408,1
14,normal,441,sábado,tormenta,11.916033913100124,1
0,lento,142,miércoles,nublado,17.55208294781313,1
4,normal,1214,martes,tormenta,14.882440881000154,1
5,normal,532,domingo,tormenta,26.000208134721316,1
5,normal,226,viernes,nublado,4.056753292728841,1
2,rapido,1336,martes,soleado,17.06087977837804,0
6,lento,948,viernes,soleado,15.876401144806316,1
8,normal,1325,sábado,soleado,9.160396482992727,1
10,normal,459,viernes,lluvioso,24.844615264733307,1
11,lento,1424,sábado,soleado,22.832611020583983,1
9,normal,550,sábado,soleado,22.2529164326231,1
7,normal,392,sábado,nublado,26.409581869817124,1
5,rapido,844,sábado,tormenta,21.960753418024115,1
11,normal,1230,sábado,soleado,7.723397459727067,1
7,lento,209,martes,soleado,21.461318637841043,1
11,rapido,1138,sábado,soleado,9.923381588305471,1
4,normal,645,martes,tormenta,8.023064860076646,1
7,normal,1274,sábado,nublado,3.117104194089192,1
9,normal,218,viernes,soleado,22.576828830082626,1
11,rapido,406,domingo,soleado,21.619027896544527,1
3,rapido,1377,sábado,soleado,7.800484852548719,0
9,lento,887,miércoles,soleado,22.731991485000524,1
7,normal,557,sábado,tormenta,27.61738560971304,1
9,lento,549,sábado,lluvioso,4.132839767255799,1
11,rapido,141,viernes,nublado,7.746462513216474,1
1,lento,611,jueves,lluvioso,22.75756302853215,1
11,rapido,500,viernes,soleado,8.96069353170527,1
11,rapido,839,miércoles,lluvioso,19.115255254227787,1
4,lento,701,jueves,lluvioso,3.353762509447721,1
8,lento,595,lunes,soleado,14.113871894002623,1
3,normal,280,lunes,lluvioso,22.43365123779564,0
10,normal,423,miércoles,soleado,20.908904348254325,1
5,lento,855,viernes,soleado,24.637090919598396,1
14,normal,269,martes,soleado,26.446111671491895,1
0,rapido,153,miércoles,nublado,23.42232153650399,0
8,rapido,613,domingo,lluvioso,20.476044545228852,1
0,lento,661,jueves,tormenta,1.9199522626649035,1
4,normal,82,jueves,nublado,16.514033528873878,1
3,normal,946,sábado,lluvioso,2.093234022530731,1
12,normal,898,lunes,lluvioso,24.433966696364656,1
11,lento,1298,jueves,soleado,10.30101120933877,1
12,lento,283,miércoles,nublado,17.310451849419707,1
12,rapido,979,jueves,soleado,9.103913912248176,0
13,normal,172,miércoles,nublado,23.692504187028515,1
2,rapido,1350,martes,tormenta,26.708573272615173,1
12,rapido,1086,sábado,soleado,12.560632332178855,1
5,normal,1096,lunes,lluvioso,26.024749411818682,1
1,rapido,762,jueves,nublado,8.74517521623364,0
2,normal,1398,miércoles,nublado,16.50516676919019,1
4,normal,632,viernes,soleado,25.904081465322413,1
14,lento,786,lunes,soleado,10.450558935857922,1
8,normal,942,martes,soleado,28.667225687264487,1
1,lento,1011,miércoles,soleado,4.534505551660125,1
9,lento,397,domingo,soleado,1.5299770219816806,1
7,lento,1143,domingo,nublado,27.21992522476753,1
13,normal,933,sábado,soleado,2.990811318288295,1
1,lento,675,sábado,lluvioso,29.764786682477258,1
10,lento,935,martes,nublado,28.59050899739408,1
12,lento,464,martes,nublado,4.973606391053299,1
4,normal,285,sábado,nublado,16.58995414508441,0
6,normal,264,jueves,nublado,6.362688626547186,0
7,lento,319,jueves,tormenta,13.416500017873476,1
0,normal,672,miércoles,soleado,2.781328748535148,0
5,lento,1399,viernes,soleado,7.4938130461010966,1
0,lento,819,miércoles,lluvioso,11.534911095568086,1
1,lento,88,viernes,soleado,13.72077750713559,0
14,lento,1226,martes,soleado,29.3473914880579,1
0,rapido,820,lunes,soleado,24.428103724835456,1
10,rapido,1000,miércoles,soleado,22.384888385046438,1
4,rapido,333,miércoles,nublado,16.574198127517253,1
9,rapido,221,viernes,soleado,25.35993505752596,1
14,normal,40,martes,lluvioso,10.840362234015622,1
8,normal,67,martes,lluvioso,21.558074270426165,1
5,lento,987,domingo,nublado,29.819735285966992,1
10,normal,513,viernes,nublado,10.124238359120765,1
10,normal,1150,martes,lluvioso,20.546508511635054,1
0,normal,1278,sábado,soleado,25.48513106041909,0
12,lento,694,jueves,lluvioso,27.558419917169495,1
0,lento,1039,domingo,lluvioso,21.820048037262953,1
1,lento,476,sábado,lluvioso,9.22462977909695,1
8,lento,1085,lunes,nublado,10.462182395499447,1
2,rapido,880,miércoles,soleado,1.601982931594962,0
14,normal,431,domingo,nublado,23.06569335247378,1
0,rapido,267,lunes,lluvioso,2.23944857579659,0
4,normal,1058,miércoles,soleado,26.074918283479626,1
6,rapido,778,jueves,lluvioso,4.441157819761625,1
5,lento,493,martes,soleado,5.984418851941803,1
11,normal,660,sábado,soleado,14.819267654134881,1
0,normal,1348,viernes,soleado,22.398532039893528,1
4,normal,1327,sábado,soleado,5.031063950773253,0
14,normal,1299,jueves,nublado,13.762061176928455,1
4,normal,1012,lunes,soleado,15.002686957893038,1
5,lento,1224,viernes,tormenta,7.156283608389148,1
2,lento,1347,martes,nublado,4.351192923738321,1
4,lento,1058,jueves,soleado,25.256206766583546,1
6,rapido,976,viernes,nublado,15.571503843120201,1
4,lento,481,jueves,lluvioso,1.4170558435404361,1
4,lento,727,jueves,lluvioso,24.28645773796401,1
4,normal,479,martes,soleado,29.44302035702296,1
9,lento,1088,domingo,lluvioso,18.57185966701317,1
9,normal,1031,miércoles,lluvioso,15.607543225438052,1
2,rapido,1324,viernes,soleado,26.47406002830389,1
0,rapido,342,martes,soleado,28.62298690085336,0
4,lento,331,jueves,nublado,22.881570561171355,0
13,normal,437,martes,soleado,13.918134962294348,1
8,rapido,173,domingo,lluvioso,18.174420580611773,1
13,lento,558,miércoles,soleado,21.327125585521976,1
